Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CLI,Mack-Cali Realty Corporation Common Stock,$16.10,-0.16,-0.984%,1460737608.00,United States,,95447,Consumer Services,Real Estate Investment Trusts
CLII,Climate Change Crisis Real Impact I Acquisition Corporation Class A Common Stock,$11.21,0.17,1.54%,322287500.00,United States,2020,770540,Consumer Services,Automotive Aftermarket
CMO,Capstead Mortgage Corporation Common Stock,$6.40,-0.04,-0.621%,619826624.00,United States,,236952,Consumer Services,Real Estate Investment Trusts
CNTY,Century Casinos Inc. Common Stock,$10.63,-0.27,-2.477%,314392476.00,United States,,98532,Consumer Services,Hotels/Resorts
CNXN,PC Connection Inc. Common Stock,$45.50,-0.44,-0.958%,1190955402.00,United States,,13970,Consumer Services,Catalog/Specialty Distribution
CONN,Conn's Inc. Common Stock,$19.51,-1.15,-5.566%,572769273.00,United States,2003,408767,Consumer Services,Consumer Electronics/Video Chains
CRSA,Crescent Acquisition Corp Class A Common Stock,$10.06,-0.02,-0.198%,314375000.00,United States,2019,493637,Consumer Services,Services-Misc. Amusement & Recreation
CSSE,Chicken Soup for the Soul Entertainment Inc. Class A Common Stock,$31.35,-3.18,-9.209%,396542952.00,United States,2017,30550,Consumer Services,Movies/Entertainment
CSV,Carriage Services Inc. Common Stock,$35.99,0.16,0.447%,648463537.00,United States,,34803,Consumer Services,Other Consumer Services
CTO,CTO Realty Growth Inc. Common Stock,$52.91,-0.12,-0.226%,315268944.00,United States,,17554,Consumer Services,Real Estate Investment Trusts
CTRN,Citi Trends Inc. Common Stock,$100.785,-0.175,-0.173%,949197363.00,United States,2005,65548,Consumer Services,Clothing/Shoe/Accessory Stores
CTT,CatchMark Timber Trust Inc. Class A Common Stock,$11.05,-0.16,-1.427%,538857781.00,United States,2013,117479,Consumer Services,Real Estate Investment Trusts
CURI,CuriosityStream Inc. Class A Common Stock,$12.94,-0.36,-2.707%,679971120.00,United States,2020,415163,Consumer Services,Movies/Entertainment
CXW,CoreCivic Inc. Common Stock,$8.465,-0.145,-1.684%,1018091425.00,United States,,1020952,Consumer Services,Real Estate Investment Trusts
DBI,Designer Brands Inc. Class A Common Stock,$16.71,-0.45,-2.622%,1211702573.00,United States,,409223,Consumer Services,Clothing/Shoe/Accessory Stores
DEA,Easterly Government Properties Inc. Common Stock,$21.47,-0.02,-0.093%,1763304391.00,United States,2015,128759,Consumer Services,Real Estate Investment Trusts
DENN,Denny's Corporation Common Stock,$17.52,-0.08,-0.455%,1123817684.00,United States,,133962,Consumer Services,Restaurants
DHC,Diversified Healthcare Trust Common Shares of Beneficial Interest,$4.61,0.00,0.00%,1098417684.00,United States,,333579,Consumer Services,Real Estate Investment Trusts
DIN,Dine Brands Global Inc. Common Stock,$92.58,0.24,0.26%,1579209828.00,United States,,79460,Consumer Services,Restaurants
DJCO,Daily Journal Corp. (S.C.) Common Stock,$312.00,-3.01,-0.956%,430792752.00,United States,,3520,Consumer Services,Newspapers/Magazines
DLTH,Duluth Holdings Inc. Class B Common Stock,$15.81,-0.37,-2.287%,520342056.00,United States,2015,151502,Consumer Services,Clothing/Shoe/Accessory Stores
DSKE,Daseke Inc. Common Stock,$7.16,-0.34,-4.533%,465606423.00,United States,2015,226438,Consumer Services,Transportation Services
DX,Dynex Capital Inc. Common Stock,$19.68,-0.19,-0.956%,597377918.00,United States,,284282,Consumer Services,Real Estate Investment Trusts
EBF,Ennis Inc. Common Stock,$20.31,-0.33,-1.599%,529472418.00,United States,,53287,Consumer Services,Office Equipment/Supplies/Services
EVC,Entravision Communications Corporation Common Stock,$3.695,-0.055,-1.467%,314244201.00,United States,2000,161204,Consumer Services,Broadcasting
EVH,Evolent Health Inc Class A Common Stock,$19.795,-0.365,-1.811%,1704187616.00,United States,2015,167225,Consumer Services,Other Consumer Services
EVI,EVI Industries Inc.  Common Stock,$27.30,-0.94,-3.329%,334462920.00,United States,,20459,Consumer Services,Other Consumer Services
EVRI,Everi Holdings Inc. Common Stock,$13.905,-0.455,-3.169%,1208106752.00,United States,,344954,Consumer Services,Services-Misc. Amusement & Recreation
FC,Franklin Covey Company Common Stock,$29.78,-0.46,-1.521%,421256861.00,United States,,20812,Consumer Services,Other Consumer Services
FLWS,1-800-FLOWERS.COM Inc. Common Stock,$25.10,-1.14,-4.345%,1627661281.00,United States,1999,303107,Consumer Services,Other Specialty Stores
FORR,Forrester Research Inc. Common Stock,$42.90,-0.38,-0.878%,820434229.00,United States,1996,18254,Consumer Services,Diversified Commercial Services
FRGI,Fiesta Restaurant Group Inc. Common Stock,$13.365,-0.365,-2.658%,351264891.00,United States,,69278,Consumer Services,Restaurants
FRX,Forest Road Acquisition Corp. Class A Common Stock,$9.90,-0.08,-0.802%,371250000.00,United States,2021,1275769,Consumer Services,Other Consumer Services
FSP,Franklin Street Properties Corp. Common Stock,$5.595,-0.085,-1.496%,600501273.00,United States,,84531,Consumer Services,Real Estate Investment Trusts
GBOX,Greenbox POS Common Stock,$8.92,-0.83,-8.513%,367371369.00,United States,,1096994,Consumer Services,Professional Services
GCO,Genesco Inc. Common Stock,$46.05,-3.61,-7.269%,688703952.00,United States,,117136,Consumer Services,Clothing/Shoe/Accessory Stores
GDEN,Golden Entertainment Inc. Common Stock,$29.12,-0.14,-0.478%,819990895.00,United States,,117111,Consumer Services,Services-Misc. Amusement & Recreation
